ZipCode,Month,Year,CustomerClass,Combined,TotalCustomers,TotalkWh,AveragekWh
92020,4,2024,I,Y,0,0,0
92020,4,2024,R,N,19519,5063242,259
92021,4,2024,A,Y,0,0,0
92021,4,2024,C,Y,0,0,0
92021,4,2024,I,Y,0,0,0
92021,4,2024,R,N,12660,2953748,233
92024,4,2024,A,Y,0,0,0
92024,4,2024,C,Y,0,0,0
92024,4,2024,I,Y,0,0,0
92024,4,2024,R,Y,4558,944695,207
92025,4,2024,A,Y,0,0,0
92025,4,2024,C,Y,0,0,0
92025,4,2024,I,Y,0,0,0
92025,4,2024,R,Y,2769,393757,142
92026,4,2024,A,Y,0,0,0
92026,4,2024,C,Y,95,781265,8224
92026,4,2024,I,Y,0,0,0
92026,4,2024,R,Y,3152,492948,156
92027,4,2024,A,Y,0,0,0
92027,4,2024,C,Y,0,0,0
92027,4,2024,I,Y,0,0,0
92027,4,2024,R,Y,3132,408572,130
92028,4,2024,A,Y,0,0,0
92028,4,2024,C,Y,0,0,0
92028,4,2024,I,Y,0,0,0
92028,4,2024,R,N,4189,455115,109
92029,4,2024,A,Y,0,0,0
92029,4,2024,C,Y,0,0,0
92029,4,2024,I,Y,0,0,0
92029,4,2024,R,N,1031,488315,474
92036,4,2024,A,Y,0,0,0
92036,4,2024,C,Y,0,0,0
92036,4,2024,I,Y,0,0,0
92036,4,2024,R,Y,395,117125,297
92037,4,2024,A,Y,0,0,0
92037,4,2024,C,Y,0,0,0
92037,4,2024,I,Y,0,0,0
92037,4,2024,R,Y,5354,1626912,304
92040,4,2024,A,Y,0,0,0
92040,4,2024,C,Y,0,0,0
92040,4,2024,I,Y,0,0,0
92040,4,2024,R,N,3108,1253384,403
92045,4,2024,C,Y,0,0,0
92045,4,2024,I,Y,0,0,0
92045,4,2024,R,Y,0,0,0
92049,4,2024,A,Y,0,0,0
92049,4,2024,C,Y,0,0,0
92049,4,2024,I,Y,0,0,0
92049,4,2024,R,Y,0,0,0
92054,4,2024,A,Y,0,0,0
92054,4,2024,C,Y,1340,6093026,4547
92054,4,2024,I,Y,0,0,0
92054,4,2024,R,Y,15637,2007584,128
92055,4,2024,A,Y,0,0,0
92055,4,2024,C,Y,0,0,0
92055,4,2024,I,Y,0,0,0
92055,4,2024,R,Y,0,0,0
92056,4,2024,A,Y,0,0,0
92056,4,2024,C,Y,0,0,0
92056,4,2024,I,Y,0,0,0
92056,4,2024,R,N,19937,1858060,93
92057,4,2024,A,Y,0,0,0
92057,4,2024,C,Y,0,0,0
92057,4,2024,I,Y,0,0,0
92057,4,2024,R,N,18832,2104736,112
92058,4,2024,A,Y,0,0,0
92058,4,2024,C,Y,0,0,0
92058,4,2024,I,Y,0,0,0
92058,4,2024,R,Y,6932,902217,130
92059,4,2024,A,Y,0,0,0
92059,4,2024,C,Y,0,0,0
92059,4,2024,I,Y,0,0,0
92059,4,2024,R,N,417,160941,386
92060,4,2024,A,Y,0,0,0
92060,4,2024,C,Y,0,0,0
92060,4,2024,I,Y,0,0,0
92060,4,2024,R,Y,0,0,0
92061,4,2024,A,Y,0,0,0
92061,4,2024,C,Y,0,0,0
92061,4,2024,I,Y,0,0,0
92061,4,2024,R,N,401,130521,325
92064,4,2024,A,Y,0,0,0
92064,4,2024,C,Y,0,0,0
92064,4,2024,I,Y,0,0,0
92064,4,2024,R,Y,15707,1946080,124
92065,4,2024,A,Y,0,0,0
92065,4,2024,C,Y,0,0,0
92065,4,2024,I,Y,0,0,0
92065,4,2024,R,Y,2779,484443,174
92066,4,2024,A,Y,0,0,0
92066,4,2024,C,Y,0,0,0
92066,4,2024,I,Y,0,0,0
92066,4,2024,R,Y,0,0,0
92067,4,2024,A,Y,0,0,0
92067,4,2024,C,Y,0,0,0
92067,4,2024,I,Y,0,0,0
92067,4,2024,R,N,565,380288,673
92068,4,2024,A,Y,0,0,0
92068,4,2024,C,Y,0,0,0
92068,4,2024,I,Y,0,0,0
92068,4,2024,R,Y,0,0,0
92069,4,2024,A,Y,0,0,0
92069,4,2024,C,Y,0,0,0
92069,4,2024,I,Y,0,0,0
92069,4,2024,R,Y,3118,198276,64
92070,4,2024,A,Y,0,0,0
92070,4,2024,C,Y,0,0,0
92070,4,2024,I,Y,0,0,0
92070,4,2024,R,Y,0,0,0
92071,4,2024,A,Y,0,0,0
92071,4,2024,C,Y,1364,7742307,5676
92071,4,2024,I,Y,0,0,0
92071,4,2024,R,Y,20026,4661110,233
92072,4,2024,A,Y,0,0,0
92072,4,2024,C,Y,0,0,0
92072,4,2024,I,Y,0,0,0
92072,4,2024,R,Y,0,0,0
92075,4,2024,A,Y,0,0,0
92075,4,2024,C,N,694,2486730,3583
92075,4,2024,I,Y,0,0,0
92075,4,2024,R,N,5643,1627732,288
92078,4,2024,A,Y,0,0,0
92078,4,2024,C,Y,0,0,0
92078,4,2024,I,Y,0,0,0
92078,4,2024,R,N,3436,769800,224
